电影名称,导演,主演,上映年份,类型,国家/地区,片长,豆瓣评分,评价人数,五星占比,短评总数,长评总数
惊天魔盗团3,鲁本·弗雷斯彻,杰西·艾森伯格 / 伍迪·哈里森 / 戴夫·弗兰科 / 艾拉·菲舍尔 / 裴淳华 / 贾斯蒂斯·史密斯 / 多米尼克·塞萨 / 阿丽亚娜·格林布拉特 / 丽兹·卡潘 / 摩根·弗里曼 / 多米尼克·奥伯恩 / 塔邦·莫拉巴 / 塞巴斯蒂安·尤金·汉森 / 佩斯利·戴·埃雷拉 / 马克·鲁法洛,2025,剧情 / 动作 / 犯罪,美国,113分钟,5.5,137498,,56932,440
如何大赚一笔,约翰·巴顿·福特,格伦·鲍威尔 / 玛格丽特·库里 / 杰西卡·亨维克 / 艾德·哈里斯 / 比尔·坎普 / 托弗·格雷斯 / 扎克·伍兹 / 拉夫·洛 / 艾德里安·鲁基斯 / 詹姆斯·弗兰切威勒 / 内森·罗伯茨 / 内尔·威廉姆斯 / 达米安·万特纳尔 / 肖恩·卡梅伦·迈克尔 / 格拉迪·威尔逊,2026,剧情 / 喜剧 / 惊悚,英国 / 法国,105分钟,6.0,4129,,1340,11
执笔,薇拉莉·邓泽里,巴斯蒂安·布永 / 安德烈·马尔孔 / 维吉妮·拉朵嫣 / 阿德里安·巴拉佐尼 / 薇拉莉·邓泽里 / 克洛德·佩隆 / 比阿特丽丝·德·斯塔尔 / Mamadou Diallo / Thelma Pourias / Oscar Tillette / Eve Oron / Marion Lecrivain / 玛丽·里维埃 / Benoît Carre / Ahlam Slama,2025,剧情 / 传记,法国,92分钟,7.1,1281,,699,8
捕风追影,杨子,成龙 / 张子枫 / 梁家辉 / 此沙 / 文俊辉 / 周政杰 / 王杍逸 / 郎月婷 / 林秋楠 / 王振威 / 李哲坤,2025,剧情 / 动作 / 犯罪,中国大陆 / 中国香港,141分钟,8.0,585398,,230652,2132
坏蛋联盟2,皮埃尔·佩里费尔 /  J·P·桑斯,山姆·洛克威尔 / 马克·马龙 / 奥卡菲娜 / 克雷格·罗宾森 / 安东尼·拉莫斯 / 莎姬·贝兹 / 丹妮尔·布鲁克斯 / 娜塔莎·雷昂 / 玛丽亚·巴卡洛娃 / 艾利克斯·布斯汀 / 理查德·艾欧阿德 / 莉莉·辛格 / 欧米德·吉亚李利 / 科林·乔斯特 / 杰米·卡米尔,2025,喜剧 / 动作 / 动画,美国,104分钟,7.6,83337,,31348,226
秒速5厘米,奥山由之,松村北斗 / 高畑充希 / 森七菜 / 青木柚 / 上田悠斗 / 白山乃爱 / 木龙麻生 / 宫崎葵 / 吉冈秀隆 / 冈部敬史 / 中田青渚 / 田村健太郎 / 户塚纯贵 / 莲见翔 / 又吉直树,2025,剧情 / 爱情,日本,123分钟,7.4,4566,,2121,37
奇幻变身大冒险,内森·格雷诺,迈克尔·B·乔丹 / 朱诺·坦普尔 / 塞德里克·凯尔斯 / 贾斯蒂娜·马查多 / 内特·托伦斯 / 卡姆登·布鲁克斯 / 塔塔·维加 / 安比卡·茂德 / 洛利·阿德福普 / 约翰·拉森贝格 / 凯瑞·华格伦 / 弗雷德·塔特西奥 / 泽莫·塔塔肖雷 / 戴维·洛奇 / 约翰尼·威廉姆斯,2026,喜剧 / 动画 / 家庭,美国,102分钟,7.6,3189,,1305,13
超时空辉夜姬！,山下清悟,夏吉优子 / 永濑安奈 / 早见沙织 / 入野自由 / 内田雄马 / 松冈祯丞 / 青山吉能 / 小原好美 / 菲鲁兹·蓝 / 花江夏树 / 钉宫理惠,2026,剧情 / 科幻 / 动画,日本,143分钟,8.3,25078,,11195,138
凶器,扎克·克雷格,朱莉娅·加纳 / 乔什·布洛林 / 王汉斌 / 阿尔登·埃伦瑞奇 / 奥斯汀·艾布拉姆斯 / 卡里·克里斯托弗 / 埃米·马迪根 / 托比·哈斯 / 克莱顿·法里斯 / 琼·黛安·拉斐尔 / 萨拉·帕克斯顿 / 贾斯汀·朗 / 杰森·特纳 / 斯嘉丽·谢尔 / 安妮·朱尔斯,2025,剧情 / 悬疑 / 惊悚,美国,128分钟,6.8,58408,,22681,122
寻女朝圣路,热纳罗·努基阿德,切柯·扎罗内 / 比阿特丽斯·阿荷纳 / 莱蒂娅·阿诺 / 玛蒂娜·科隆巴里 / 比阿特丽斯·阿布罗 / 诺贝托·莫兰 / 大卫·萨利纳斯 / 杰克·福赛思-诺布尔 / 塞西莉亚·格拉尼亚尼 / 利穆 / 马尔科·萨尔米宁 / 侯赛因·塔赫里 / 爱德华多·迪亚斯 / 卡洛斯·托卡 / 范妮·加蒂贝尔萨,2025,喜剧,意大利,90分钟,6.8,1004,,481,7
